"Tilaus","","Yritys","Variantti","Päivämäärä","Määrä","Tämä tuote","Kaikki tuotteet","Toimitus yhteensä","Alennukset yhteensä","Hinta yhteensä","Tila"
"37329","","","","9.4.2026 17:13:06","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"37326","","","","9.4.2026 17:01:04","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"37273","","","","8.4.2026 09:18:55","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"37145","","","","4.4.2026 10:37:44","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"37142","","","","4.4.2026 09:28:42","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"37048","","","","1.4.2026 10:37:20","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"36944","","","- Aika: Viikko","30.3.2026 11:28:33","1 kpl","23.10  €","62.00  €","0.00  €","0.00  €","62.00  €","Maksettu"
"36932","","","","29.3.2026 19:33:57","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"36928","","","","29.3.2026 13:11:23","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"36892","","","","27.3.2026 17:16:39","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"36847","","","","26.3.2026 12:29:46","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"36842","","","","26.3.2026 09:24:18","1 kpl","25.90  €","25.90  €","9.90  €","9.90  €","25.90  €","Maksettu"
"36728","","","- Aika: Viikko","22.3.2026 19:38:48","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Maksettu"
"36693","","","","21.3.2026 10:41:55","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"36636","","","- Aika: Viikko","19.3.2026 11:50:53","1 kpl","25.90  €","35.80  €","0.00  €","0.00  €","35.80  €","Maksettu"
"36596","","","","18.3.2026 12:41:44","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"36559","","","","17.3.2026 16:12:29","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"36446","","","","14.3.2026 21:26:14","1 kpl","25.90  €","25.90  €","9.90  €","9.90  €","25.90  €","Maksettu"
"36352","","","","12.3.2026 13:21:37","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"36205","","","","8.3.2026 23:28:39","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"36105","","","","5.3.2026 13:45:05","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"36095","","","","4.3.2026 19:09:43","1 kpl","25.90  €","25.90  €","9.90  €","9.90  €","25.90  €","Maksettu"
"36068","","","","4.3.2026 11:22:38","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"36011","","","","3.3.2026 10:51:33","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"35953","","","","2.3.2026 12:25:04","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"35951","","","","2.3.2026 08:17:23","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"35946","","","","1.3.2026 13:12:07","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"35939","","","","28.2.2026 19:27:43","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"35929","","","","28.2.2026 09:57:31","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"35879","","","","27.2.2026 10:06:38","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"35838","","","- Aika: Viikko","26.2.2026 15:13:30","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Maksettu"
"35823","","","","25.2.2026 18:31:04","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"35752","","","- Aika: Viikko","24.2.2026 12:40:38","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Maksettu"
"35717","","","- Aika: Viikko","23.2.2026 15:06:59","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Maksettu"
"35715","","","- Aika: Viikko","23.2.2026 15:06:16","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Maksettu"
"35586","","","","18.2.2026 22:07:05","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"35508","","","","16.2.2026 22:15:02","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"35455","","","","16.2.2026 01:05:38","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"35430","","","","15.2.2026 11:54:48","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"35387","","","","13.2.2026 18:27:11","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"35370","","","","13.2.2026 12:31:59","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"35335","","","- Aika: Viikko","12.2.2026 17:43:12","1 kpl","25.90  €","35.80  €","0.00  €","0.00  €","35.80  €","Maksettu"
"35316","","","","12.2.2026 10:01:50","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"35304","","","","11.2.2026 21:07:50","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"35229","","","","9.2.2026 15:22:37","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"35144","","","","7.2.2026 15:38:07","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"35086","","","","5.2.2026 15:43:01","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"35055","","","","4.2.2026 20:40:48","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"35052","","","","4.2.2026 19:33:16","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"34950","","","","2.2.2026 18:47:09","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"34869","","","","1.2.2026 17:32:37","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"34867","","","","1.2.2026 15:32:52","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"34818","","","","30.1.2026 13:47:58","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"34671","","","- Aika: Viikko","26.1.2026 17:37:33","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Maksettu"
"34659","","","- Aika: Viikko","26.1.2026 15:46:07","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Maksettu"
"34617","","","","25.1.2026 14:39:37","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"34615","","","","25.1.2026 12:38:13","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"34522","","","","22.1.2026 17:09:02","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"34438","","","","20.1.2026 10:42:47","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"34401","","","","19.1.2026 12:29:29","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"34398","","","","19.1.2026 11:58:25","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"34394","","","","19.1.2026 11:56:45","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"34291","","","","16.1.2026 11:43:30","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"34161","","","","12.1.2026 21:26:10","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"34152","","","","12.1.2026 18:18:32","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"34143","","","- Aika: Viikko","12.1.2026 16:46:07","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Maksettu"
"34108","","","","12.1.2026 11:54:34","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"34076","","","","11.1.2026 12:18:31","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"34074","","","","11.1.2026 12:18:29","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"34019","","","","9.1.2026 16:39:05","1 kpl","25.90  €","124.90  €","9.90  €","0.00  €","134.80  €","Maksettu"
"33969","","","","8.1.2026 13:12:39","2 kpl","51.80  €","51.80  €","9.90  €","0.00  €","61.70  €","Maksettu"
"33793","","","- Aika: Viikko","5.1.2026 17:43:16","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Maksettu"
"33768","","","- Aika: Viikko","5.1.2026 15:31:20","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Maksettu"
"33724","","","","5.1.2026 10:26:28","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"33525","","","","1.1.2026 16:29:43","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"33244","","","","30.12.2025 11:25:19","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"33223","","","- Aika: Viikko","30.12.2025 10:01:55","1 kpl","25.90  €","35.80  €","0.00  €","0.00  €","35.80  €","Maksettu"
"33159","","","- Aika: Viikko","29.12.2025 15:19:33","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Maksettu"
"33065","","","","27.12.2025 15:41:17","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"32791","","","- Aika: Viikko","22.12.2025 13:58:45","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Maksettu"
"32789","","","- Aika: Viikko","22.12.2025 13:57:57","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Maksettu"
"32743","","","","22.12.2025 09:56:51","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"32689","","","","21.12.2025 13:02:12","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"32682","","","","21.12.2025 08:43:15","1 kpl","25.90  €","25.90  €","9.90  €","9.90  €","25.90  €","Maksettu"
"32558","","","","19.12.2025 08:25:23","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"32469","","","","18.12.2025 09:30:21","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"32427","","","","17.12.2025 13:29:21","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"32307","","","","15.12.2025 15:52:56","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"32041","","","","10.12.2025 14:47:07","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"31860","","","","4.12.2025 18:31:31","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"31780","","","","2.12.2025 19:43:42","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"31772","","","","2.12.2025 18:02:18","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"31757","","","- Aika: Viikko","2.12.2025 16:48:39","1 kpl","25.90  €","35.80  €","0.00  €","0.00  €","35.80  €","Maksettu"
"31664","","","","1.12.2025 09:22:27","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"31662","","","","1.12.2025 09:12:53","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"31651","","","","1.12.2025 01:49:12","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"31628","","","","30.11.2025 14:23:48","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"31558","","","","28.11.2025 11:07:46","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"31535","","","","27.11.2025 21:10:50","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"31268","","","","20.11.2025 17:44:44","1 kpl","25.90  €","25.90  €","9.90  €","9.90  €","25.90  €","Maksettu"
"30938","","","","11.11.2025 18:45:44","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"30869","","","- Aika: Viikko","10.11.2025 15:01:31","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Maksettu"
"30867","","","- Aika: Viikko","10.11.2025 15:00:03","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Maksettu"
"30662","","","- Aika: Viikko","6.11.2025 16:19:46","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Maksettu"
"30590","","","","4.11.2025 22:21:28","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"30511","","","- Aika: Viikko","3.11.2025 15:56:56","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Maksettu"
"30469","","","","3.11.2025 12:21:21","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"30467","","","","3.11.2025 11:57:06","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"30291","","","- Aika: Viikko","29.10.2025 10:31:35","1 kpl","25.90  €","35.80  €","0.00  €","0.00  €","35.80  €","Maksettu"
"30184","","","- Aika: Viikko","27.10.2025 15:49:12","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Maksettu"
"30065","","","","25.10.2025 18:33:56","1 kpl","25.90  €","25.90  €","9.90  €","9.90  €","25.90  €","Maksettu"
"29947","","","- Aika: Viikko","22.10.2025 13:48:37","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Maksettu"
"29945","","","- Aika: Viikko","22.10.2025 13:47:04","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Maksettu"
"29905","","","- Aika: Viikko","21.10.2025 13:01:37","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Maksettu"
"29801","","","","17.10.2025 17:34:45","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"29683","","","- Aika: Viikko","15.10.2025 09:09:13","1 kpl","25.90  €","35.80  €","0.00  €","0.00  €","35.80  €","Maksettu"
"29505","","","","10.10.2025 12:05:05","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"29443","","","","9.10.2025 12:22:43","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"29439","","","","9.10.2025 12:05:00","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"29432","","","","9.10.2025 09:36:52","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"29430","","","","9.10.2025 09:25:14","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"29332","","","- Aika: Viikko","7.10.2025 09:51:57","1 kpl","25.90  €","35.80  €","0.00  €","0.00  €","35.80  €","Maksettu"
"29149","","","","2.10.2025 15:53:40","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"29071","","","- Aika: Viikko","1.10.2025 17:14:17","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Maksettu"
"29067","","","- Aika: Viikko","1.10.2025 17:08:55","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Maksettu"
"28962","","","- Aika: Viikko","30.9.2025 15:16:21","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Maksettu"
"28896","","","- Aika: Viikko","29.9.2025 16:44:47","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Maksettu"
"28894","","","- Aika: Viikko","29.9.2025 16:09:22","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Maksettu"
"28858","","","","29.9.2025 09:43:14","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"28765","","","- Aika: Viikko","24.9.2025 14:33:34","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Maksettu"
"28734","","","","23.9.2025 08:23:08","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"28711","","","","22.9.2025 12:54:56","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"28159","","","","1.9.2025 07:15:00","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"28127","","","","30.8.2025 13:16:25","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"28024","","","","26.8.2025 10:38:18","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"27868","","","","19.8.2025 20:43:07","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"27812","","","","17.8.2025 19:54:52","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"27739","","","","13.8.2025 21:27:46","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"27718","","","","12.8.2025 20:31:31","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"27693","","","- Aika: Viikko","11.8.2025 21:15:18","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Maksettu"
"27684","","","","11.8.2025 20:09:29","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"27572","","","- Aika: Viikko","6.8.2025 16:04:49","1 kpl","25.90  €","35.80  €","0.00  €","0.00  €","35.80  €","Maksettu"
"27562","","","","6.8.2025 13:06:15","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"27469","","","","4.8.2025 13:54:55","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"27457","","","","4.8.2025 08:29:59","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"27431","","","","2.8.2025 10:01:12","1 kpl","25.90  €","25.90  €","9.90  €","9.90  €","25.90  €","Maksettu"
"27429","","","","2.8.2025 07:53:30","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"27349","","","","29.7.2025 20:25:11","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"27204","","","","22.7.2025 09:08:20","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"27153","","","","17.7.2025 17:13:04","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"27080","","","","14.7.2025 09:39:51","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"26890","","","","2.7.2025 22:08:37","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"26879","","","","2.7.2025 13:15:10","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"26854","","","","1.7.2025 10:12:38","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"26764","","","","26.6.2025 11:51:11","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"26725","","","","24.6.2025 19:33:34","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"26406","","","","6.6.2025 00:01:58","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"26366","","","","3.6.2025 12:04:17","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"26055","","","","19.5.2025 21:46:05","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"25942","","","- Aika: Viikko","14.5.2025 15:24:45","1 kpl","25.90  €","25.90  €","0.00  €","5.18  €","20.72  €","Maksettu"
"25836","","","","10.5.2025 07:14:10","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"25737","","","","6.5.2025 07:00:46","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"25675","","","","3.5.2025 11:11:27","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"25622","","","","1.5.2025 16:02:26","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"25525","","","- Aika: Viikko","28.4.2025 10:18:39","1 kpl","25.90  €","35.80  €","0.00  €","0.00  €","35.80  €","Maksettu"
"25468","","","- Aika: Viikko","23.4.2025 15:30:10","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Maksettu"
"25153","","","- Aika: Viikko","8.4.2025 16:30:34","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Maksettu"
"25106","","","- Aika: Viikko","7.4.2025 17:32:04","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Maksettu"
"24982","","","","2.4.2025 00:25:23","1 kpl","25.90  €","25.90  €","9.90  €","9.90  €","25.90  €","Maksettu"
"24969","","","","1.4.2025 19:28:44","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"24883","","","","31.3.2025 07:40:29","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"24825","","","","28.3.2025 09:17:41","3 kpl","77.70  €","77.70  €","9.90  €","0.00  €","87.60  €","Maksettu"
"24563","","","","16.3.2025 19:57:45","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"24454","","","- Aika: Viikko","11.3.2025 15:05:19","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Maksettu"
"24343","","","- Aika: Viikko","7.3.2025 12:17:06","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Uusi tilaus"
"24339","","","","7.3.2025 12:09:21","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
"24276","","","- Aika: Viikko","5.3.2025 15:24:55","1 kpl","25.90  €","25.90  €","0.00  €","0.00  €","25.90  €","Maksettu"
"24112","","","","25.2.2025 20:12:34","1 kpl","25.90  €","25.90  €","9.90  €","0.00  €","35.80  €","Maksettu"
